time,angle_2d,angle_3d
0.021999120712280273,2.209518591511852,2.740055462533803
0.053713083267211914,2.2948132476916783,2.825857264970665
0.08669114112854004,2.2818480853810854,2.2274838516904083
0.5265841484069824,2.1084882365453836,2.0887406910150617
0.5422077178955078,2.2730477083680114,2.2199697051199507
0.5623102188110352,2.4021335965300636,3.0007198873063317
0.5910654067993164,2.3701225807293724,2.7003594737900585
0.6250648498535156,2.253387515445496,2.8847258813003407
0.6580185890197754,2.1322134368698755,2.178732070126017
0.6900186538696289,2.0982697377939985,2.195157314651624
0.7214922904968262,2.197618758289508,2.477953386750812
0.7594916820526123,2.1161260716109496,2.2963483236157174
0.7914919853210449,1.977521522376719,2.1406086183524735
0.8294923305511475,2.1298807234854564,2.2599470853261607
0.8564944267272949,1.9902929236663738,2.120209805539389
0.8884923458099365,2.1158618744982505,2.0957222299928446
0.9264919757843018,1.9755617872496032,2.572158583504091
0.9564931392669678,1.9610314971542948,2.12405017040723
0.9928867816925049,1.990822461001983,2.503770659141395
1.0218868255615234,2.2235745804964893,2.836712413101111
1.0558862686157227,2.287612586161373,2.8850112432390063
1.091254472732544,2.3076866512631398,2.5380080909601475
1.1232550144195557,2.2277060325321543,2.45859941510858
1.1578130722045898,2.317896132366002,2.4818306543338338
1.188814401626587,2.181783212425131,2.1283960736463428
1.2251076698303223,2.2659470042585497,2.629844480926039
1.2571074962615967,2.1237100831579596,2.2703217904440294
1.2884149551391602,2.21407478480333,2.2108096231882826
1.3224148750305176,2.172352827397731,2.335824944565445
1.358529806137085,2.160246919403278,2.2567188252514825
1.3935298919677734,2.025945291309796,2.2895803717215983
1.4225294589996338,2.1166336339701957,2.580697764941931
1.4578931331634521,1.930664773683219,2.4106582204962024
1.502894401550293,2.0597839430973863,2.5391719483615134
1.5268936157226562,2.127960648424505,2.407560841328376
1.565894365310669,2.079858175446674,2.5257175405296266
1.5998938083648682,2.2763650061890814,2.8567678679958703
1.6328930854797363,2.210788335156053,2.724498756370224
1.6688940525054932,2.1635591085827457,2.444167039458364
1.6908938884735107,2.180207365365078,2.410374968241598
1.724613904953003,2.209269276096421,2.7568159007156225
1.7576115131378174,2.205043971914506,2.185631449281942
1.7896125316619873,2.155758225092711,2.169157792852701
1.8216121196746826,2.146252324773201,2.5933944996056653
1.8571877479553223,2.1957553413216715,2.4765712649917475
1.8951869010925293,2.263212239891544,2.5767907769747467
1.922187328338623,2.1230514573568655,2.20284826508734
1.9591450691223145,2.2337000979588026,2.5641657705180307
1.9891445636749268,2.075622536404097,2.1557344198688497
2.030904769897461,2.015353735009512,2.2623992014043495
2.057898759841919,2.020378814465573,2.3340578536885914
2.091862201690674,2.0339502557460207,2.130518032902586
2.123856544494629,2.0708411784639793,2.1838099877742536
2.1581056118011475,2.0844501197215948,2.414026578556559
2.193101644515991,2.0013045087761725,2.5478373505182788
2.2261006832122803,2.3118035600267888,2.9255198526353468
2.254101514816284,2.31406192372458,2.828116788116148
2.2916476726531982,2.245547168988054,2.843086450376319
2.3236453533172607,2.181905662559217,2.796449768744367
2.360645055770874,2.0977751700200713,2.3951006565170303
2.394646167755127,2.2849321188860756,2.5977102223805844
2.4246459007263184,2.1174239599124576,2.14740257878708
2.4606451988220215,2.1175685680771608,2.4308876676396665
2.488645553588867,2.070275193096336,2.0012068094588926
2.524707078933716,1.8873803644641498,1.9824410533321952
2.5577073097229004,2.3564057769121973,2.120827495593261
2.5941689014434814,2.660702840793533,2.4915094646878515
2.6238317489624023,3.239245531989326,3.3176849763051734
2.6552047729492188,4.788013302816637,4.501492025803145
2.6882035732269287,8.747966728064767,9.057984197623796
2.7252039909362793,14.37888823816212,14.773254135746015
2.75520396232605,21.139636333007388,21.685446391012476
2.79196834564209,28.803702617846596,28.938752036952366
2.8348329067230225,37.35542725777495,37.52488396590272
2.8598344326019287,45.66730586781668,45.7816275844655
2.8978872299194336,53.49917075876081,53.433602378968544
2.9258346557617188,60.124696692626515,59.98332943707655
2.961087226867676,66.61218109178998,66.55116046481682
2.992086887359619,73.10410373102947,72.6484108254508
3.0200867652893066,79.08394921528662,78.92955542355017
3.060086727142334,83.98814934198076,83.69661319212038
3.0910868644714355,86.18978114340493,85.91246048359632
3.121087074279785,86.47147770265164,86.10166718104783
3.156484842300415,85.3092651885121,84.90803770700465
3.187485456466675,82.09641176741924,81.96678587544116
3.226886510848999,76.73838556430655,76.42071173189655
3.2548866271972656,69.75631295543805,69.26498798003522
3.293886661529541,61.177472005694256,61.39248819437425
3.3398871421813965,52.17027684515058,52.215637753359985
3.3538875579833984,43.09749408320474,43.24564704235584
3.395200252532959,35.21316565301021,35.511299054911944
3.421200752258301,29.270661246386794,29.359734382989615
3.457564115524292,25.688196663499127,25.942452315871492
3.4905736446380615,23.793120239187488,24.195279466435778
3.5250561237335205,23.882059141254132,24.283740829998635
3.558055877685547,24.83005182479937,24.809607681727954
3.593714475631714,28.5106563396765,28.585294528837437
3.624755859375,34.98910527339132,35.011233455132384
3.658722162246704,42.59907920129049,42.56847869765815
3.6927218437194824,50.95789927613694,51.17991457774764
3.737722873687744,58.91181177342196,58.89160876503952
3.751534938812256,66.06281398771242,65.97645040297233
3.7953193187713623,72.18200622372537,71.66716700949253
3.830336093902588,77.93277518695052,77.17795309802162
3.8553192615509033,82.27089702084442,81.79965018548421
3.891267776489258,85.26162957017306,84.67665412083285
3.9242682456970215,85.89852059554634,85.28014712579929
3.957268238067627,85.63071969421952,84.94734910004263
3.9872684478759766,84.49680825314505,83.83420887230258
4.024268627166748,82.18343792453618,81.72934652083977
4.0542683601379395,78.70197134119861,78.24243910910168
4.08927845954895,73.93664239913637,73.31075166022192
4.122277736663818,67.9669591421669,67.80300080896411
4.155277729034424,61.43043481202936,61.34719854042518
4.191278457641602,54.38456780519812,54.662668931809904
4.233664512634277,46.84432444498728,46.98740597292672
4.256598234176636,39.44702495149491,39.563276969046996
4.29560661315918,33.27352211905125,33.59123837108277
4.3372814655303955,29.243225625050286,29.234474328391457
4.356279611587524,27.632472703444165,27.756690310385125
4.397280931472778,28.359775128885758,28.21956421649125
4.424279451370239,30.134593602101972,30.059315907241796
4.4572765827178955,35.698137321282076,35.651505308448776
4.490269660949707,43.09082615119695,42.92458349940881
4.524330139160156,50.84758946080302,51.25692592541003
4.560102224349976,59.349899021944964,59.36564443647892
4.592051029205322,67.16053139458958,67.16968159129719
4.626189231872559,74.20054494001204,73.77796151907013
4.6581621170043945,80.12960732960292,79.89366759946218
4.69216251373291,84.53253943783236,83.9970644031355
4.731138229370117,86.30774505423908,85.74645290646231
4.755134582519531,86.2361172592731,85.46878892971156
4.798170328140259,85.24642916529683,84.61696591511418
4.850172519683838,83.47350908423306,82.95601178945645
4.869170904159546,80.11798918760131,79.65160396662694
4.907170295715332,75.37818738287696,74.72798091913968
4.929171800613403,69.1104640104901,69.05782604325422
