time,s21
7.751059055328369,-47.854957580566406
7.824136734008789,-48.06451416015625
7.824136734008789,-48.1340446472168
7.824136734008789,-48.331748962402344
7.88410210609436,-48.29897689819336
7.88410210609436,-48.499507904052734
7.88410210609436,-48.68726348876953
7.948059320449829,-48.59947204589844
7.948059320449829,-48.552886962890625
7.948059320449829,-48.96403884887695
7.99407172203064,-48.97060012817383
7.995112657546997,-49.1226806640625
7.995112657546997,-49.24785232543945
7.995112657546997,-49.38705825805664
8.085582256317139,-49.51105499267578
8.085582256317139,-49.688377380371094
8.085582256317139,-49.74892044067383
8.11855411529541,-49.862979888916016
8.119585275650024,-50.08252716064453
8.119585275650024,-50.18948745727539
8.181504011154175,-50.4044189453125
8.182503700256348,-50.63945388793945
8.182503700256348,-50.49266815185547
8.182503700256348,-50.62757873535156
8.247504949569702,-50.965362548828125
8.248507261276245,-50.85805892944336
8.248507261276245,-51.045555114746094
8.317641973495483,-50.93413162231445
8.317641973495483,-50.946712493896484
8.317641973495483,-51.235836029052734
8.382355690002441,-51.41683578491211
8.38335919380188,-51.182926177978516
8.38335919380188,-51.44462585449219
8.451500654220581,-51.370235443115234
8.45250153541565,-51.38935470581055
8.45250153541565,-51.58693313598633
8.45250153541565,-51.78285217285156
8.50644063949585,-51.780418395996094
8.50644063949585,-51.833106994628906
8.50644063949585,-52.0661735534668
8.571049451828003,-51.80522918701172
8.571049451828003,-52.16954040527344
8.571049451828003,-52.09270095825195
8.61797285079956,-51.94075393676758
8.618971824645996,-52.18388366699219
8.618971824645996,-52.33180236816406
8.618971824645996,-52.458011627197266
8.680341243743896,-52.51333999633789
8.681344032287598,-52.267826080322266
8.681344032287598,-52.383174896240234
8.75133991241455,-52.25387191772461
8.75133991241455,-52.49266052246094
8.75133991241455,-52.57964324951172
8.81891417503357,-52.734745025634766
8.81891417503357,-52.711334228515625
8.81891417503357,-52.13026809692383
8.884233474731445,-52.493614196777344
8.884233474731445,-52.6649169921875
8.884233474731445,-52.40950393676758
8.884233474731445,-52.77163314819336
8.948546886444092,-52.44044876098633
8.948546886444092,-52.792728424072266
8.948546886444092,-52.44506072998047
8.99246597290039,-52.557857513427734
8.993466854095459,-52.33778381347656
8.993466854095459,-52.67647171020508
9.058494806289673,-52.29188919067383
9.058494806289673,-52.69736099243164
9.058494806289673,-52.243202209472656
9.058494806289673,-52.01249313354492
9.117464780807495,-51.963600158691406
9.117464780807495,-52.05012512207031
9.117464780807495,-51.909454345703125
9.18246865272522,-51.86195755004883
9.183476686477661,-51.879432678222656
9.183476686477661,-51.63648986816406
9.25023341178894,-51.65908432006836
9.251143217086792,-51.43730545043945
9.251143217086792,-51.39639663696289
9.251143217086792,-51.228370666503906
9.306143760681152,-51.3928337097168
9.307143926620483,-51.0339469909668
9.307143926620483,-51.15842056274414
9.367226839065552,-51.067710876464844
9.367226839065552,-50.76675033569336
9.367226839065552,-50.537506103515625
9.447721004486084,-50.53329849243164
9.448734998703003,-50.4139289855957
9.448734998703003,-50.32063293457031
9.514953136444092,-50.21017837524414
9.514953136444092,-50.082088470458984
9.515948295593262,-49.883235931396484
9.515948295593262,-49.651466369628906
9.582982301712036,-49.46230697631836
9.582982301712036,-49.52089309692383
9.582982301712036,-49.384273529052734
9.618953943252563,-49.30927276611328
9.618953943252563,-49.09353256225586
9.618953943252563,-49.26604080200195
9.681979894638062,-48.932464599609375
9.681979894638062,-48.95045471191406
9.681979894638062,-48.83089065551758
9.681979894638062,-48.728233337402344
9.757068872451782,-48.362640380859375
9.757068872451782,-48.2338981628418
9.757068872451782,-48.206207275390625
9.821665525436401,-48.03472900390625
9.821665525436401,-47.922332763671875
9.821665525436401,-47.944923400878906
9.882667541503906,-47.92305374145508
9.883736848831177,-47.854679107666016
9.884666919708252,-47.72344970703125
9.949681997299194,-47.439781188964844
9.949681997299194,-47.328514099121094
9.949681997299194,-47.17155838012695
9.949681997299194,-47.36140060424805
9.990699768066406,-47.13685989379883
9.990699768066406,-46.97842025756836
9.990699768066406,-46.897342681884766
10.054578065872192,-46.79737854003906
10.054578065872192,-46.68351364135742
10.054578065872192,-46.47228240966797
10.121514797210693,-46.351070404052734
10.121514797210693,-46.276607513427734
10.121514797210693,-46.13626480102539
10.121514797210693,-45.945186614990234
10.18067741394043,-45.945621490478516
10.18067741394043,-45.789703369140625
10.18067741394043,-45.686458587646484
10.248780488967896,-45.503578186035156
10.248780488967896,-45.315799713134766
10.248780488967896,-45.3088264465332
10.313780307769775,-45.23594665527344
10.314871311187744,-45.07569885253906
10.314871311187744,-45.10051727294922
10.381821393966675,-44.91526412963867
10.381821393966675,-44.87685775756836
10.381821393966675,-44.81637954711914
10.381821393966675,-44.70030975341797
10.447636604309082,-44.620426177978516
10.448649168014526,-44.5301513671875
10.448649168014526,-44.310218811035156
10.491956949234009,-44.26952362060547
10.491956949234009,-44.12724304199219
10.491956949234009,-44.03788375854492
10.555889368057251,-43.78959274291992
10.55696177482605,-43.67132568359375
10.55696177482605,-43.54660415649414
10.55696177482605,-43.222164154052734
10.614891767501831,-43.18034362792969
10.615893125534058,-42.97081756591797
10.615893125534058,-42.85881423950195
10.677681922912598,-42.73161697387695
10.678680181503296,-42.66304016113281
10.678680181503296,-42.472652435302734
10.748348474502563,-42.45456314086914
10.748348474502563,-42.30186462402344
10.748348474502563,-42.28184127807617
10.814416646957397,-42.10491943359375
10.814416646957397,-42.01561737060547
10.814416646957397,-41.86334991455078
10.814416646957397,-41.76948928833008
10.885397672653198,-41.60146713256836
10.885397672653198,-41.404415130615234
10.885397672653198,-41.310638427734375
10.950353860855103,-41.0782585144043
10.951364517211914,-40.92710876464844
10.951364517211914,-40.74759292602539
10.988293647766113,-40.544918060302734
10.989375114440918,-40.32179260253906
10.989375114440918,-40.145164489746094
10.989375114440918,-40.005306243896484
11.052550554275513,-39.818153381347656
11.052550554275513,-39.64521026611328
11.052550554275513,-39.56360626220703
11.11448049545288,-39.432762145996094
11.11448049545288,-39.38602066040039
11.11448049545288,-39.17061996459961
11.179920673370361,-39.10234451293945
11.180923700332642,-38.98654556274414
11.180923700332642,-38.87946319580078
11.246225118637085,-38.715484619140625
11.247227430343628,-38.58350372314453
11.247227430343628,-38.40557861328125
11.247227430343628,-38.28169250488281
11.317301511764526,-38.16998291015625
11.318304300308228,-37.983177185058594
11.318304300308228,-37.82164764404297
11.381664514541626,-37.686676025390625
11.381664514541626,-37.576622009277344
11.381664514541626,-37.39619445800781
11.381664514541626,-37.27531814575195
11.448041439056396,-37.17594528198242
11.448041439056396,-37.11530685424805
11.448041439056396,-37.02632141113281
11.49111008644104,-36.998714447021484
11.49111008644104,-36.841552734375
11.49111008644104,-36.715023040771484
11.552039384841919,-36.65532302856445
11.552039384841919,-36.5601692199707
11.552039384841919,-36.34890365600586
11.613716125488281,-36.20716857910156
11.614723205566406,-36.08497619628906
11.614723205566406,-36.02489471435547
11.68464183807373,-35.84955596923828
11.68464183807373,-35.72100830078125
11.68464183807373,-35.65876770019531
11.68464183807373,-35.62184524536133
11.750023365020752,-35.59870529174805
11.750023365020752,-35.57194519042969
11.750023365020752,-35.5629997253418
11.813029527664185,-35.58109664916992
11.814032554626465,-35.59071731567383
11.814032554626465,-35.660011291503906
11.880571365356445,-35.60484313964844
11.880571365356445,-35.676700592041016
11.880571365356445,-35.699615478515625
11.880571365356445,-35.69121551513672
11.951915979385376,-35.6929817199707
11.951915979385376,-35.73014450073242
11.951915979385376,-35.724998474121094
11.989848375320435,-35.72381591796875
11.990864753723145,-35.76628875732422
11.990864753723145,-35.78142166137695
12.058850049972534,-35.8100471496582
12.059849739074707,-35.85921096801758
12.059849739074707,-35.87250518798828
12.11784839630127,-36.00847625732422
12.118853330612183,-36.1690559387207
12.118853330612183,-36.328826904296875
12.118853330612183,-36.532127380371094
12.180086851119995,-36.74010467529297
12.18108606338501,-36.9925422668457
12.18108606338501,-37.17332458496094
12.247982263565063,-37.35076141357422
12.247982263565063,-37.587005615234375
