time,s21
0.579089879989624,-53.66139221191406
0.579089879989624,-53.66902160644531
0.6476812362670898,-53.88553237915039
0.6476812362670898,-53.75511169433594
0.6476812362670898,-53.96442794799805
0.6476812362670898,-53.741966247558594
0.7096812725067139,-53.84284591674805
0.7096812725067139,-53.89747619628906
0.7096812725067139,-53.7064323425293
0.7696189880371094,-53.53561019897461
0.7696189880371094,-53.65357208251953
0.7696189880371094,-53.58240509033203
0.8326170444488525,-53.70625686645508
0.8326170444488525,-53.654510498046875
0.8326170444488525,-53.60866928100586
0.8936185836791992,-53.6513671875
0.8936185836791992,-53.77450942993164
0.8936185836791992,-53.813133239746094
0.8936185836791992,-53.80377197265625
0.9566166400909424,-53.88166809082031
0.9566166400909424,-53.916194915771484
0.9566166400909424,-53.34149932861328
1.0196380615234375,-53.638389587402344
1.0206377506256104,-54.00913619995117
1.0206377506256104,-53.73761749267578
1.081378698348999,-53.915443420410156
1.081378698348999,-53.54383087158203
1.081378698348999,-53.84314727783203
1.081378698348999,-53.71605682373047
1.152299165725708,-54.02208709716797
1.152299165725708,-53.61183547973633
1.153299331665039,-53.575862884521484
1.2143034934997559,-53.68536376953125
1.2153007984161377,-53.553768157958984
1.2153007984161377,-53.679893493652344
1.2693021297454834,-53.67111587524414
1.2693021297454834,-54.14289855957031
1.2693021297454834,-53.84390640258789
1.3303098678588867,-53.71672439575195
1.3303098678588867,-53.91526412963867
1.3303098678588867,-53.416831970214844
1.3303098678588867,-53.767051696777344
1.3943018913269043,-53.81171417236328
1.3943018913269043,-53.70051193237305
1.3943018913269043,-53.73847198486328
1.4563796520233154,-53.74412536621094
1.4563796520233154,-53.49713897705078
1.4563796520233154,-53.55998229980469
1.5192992687225342,-53.54828643798828
1.5192992687225342,-53.638858795166016
1.5192992687225342,-53.5496711730957
1.5192992687225342,-53.83119201660156
1.580482006072998,-53.715389251708984
1.580482006072998,-53.64460754394531
1.580482006072998,-53.85283279418945
1.6459596157073975,-53.4080924987793
1.6459596157073975,-53.64509582519531
1.6459596157073975,-53.28361511230469
1.7118911743164062,-53.70912170410156
1.7118911743164062,-53.77876281738281
1.7118911743164062,-53.53848648071289
1.7679600715637207,-53.76957702636719
1.7698912620544434,-53.5703010559082
1.7698912620544434,-53.55027770996094
1.7698912620544434,-53.711368560791016
1.8315212726593018,-53.59044647216797
1.8315212726593018,-53.973960876464844
1.8315212726593018,-53.78886413574219
1.8924214839935303,-53.455440521240234
1.8924214839935303,-53.63511657714844
1.8924214839935303,-53.68959426879883
1.954725980758667,-53.80430603027344
1.954725980758667,-53.420799255371094
1.954725980758667,-53.55594253540039
1.954725980758667,-53.71516036987305
2.018705368041992,-53.392452239990234
2.018705368041992,-53.445472717285156
2.018705368041992,-53.7413330078125
2.079166889190674,-53.409061431884766
2.079166889190674,-53.489662170410156
2.079166889190674,-53.67499542236328
2.1431679725646973,-53.646583557128906
2.1431679725646973,-53.7833137512207
2.1441707611083984,-53.68717956542969
2.1441707611083984,-53.53113555908203
2.210047483444214,-53.77273178100586
2.2110068798065186,-53.46021270751953
2.2110068798065186,-53.49390411376953
2.277717113494873,-53.389217376708984
2.277717113494873,-53.80113983154297
2.277717113494873,-53.31498336791992
2.3284687995910645,-53.693359375
2.3284687995910645,-53.53947067260742
2.3294572830200195,-53.443603515625
2.391819715499878,-53.697227478027344
2.391819715499878,-53.65877151489258
2.391819715499878,-53.48440933227539
2.391819715499878,-53.4874153137207
2.4548168182373047,-53.48423385620117
2.4548168182373047,-53.470001220703125
2.455815315246582,-53.40430450439453
2.5161187648773193,-53.54378128051758
2.5161187648773193,-54.02281951904297
2.5161187648773193,-53.332923889160156
2.5783655643463135,-53.68252182006836
2.5793650150299072,-53.44580078125
2.5793650150299072,-53.750736236572266
2.5793650150299072,-53.789974212646484
2.646191358566284,-53.65336990356445
2.646191358566284,-53.67543411254883
2.646191358566284,-53.56513595581055
2.7108263969421387,-53.5771598815918
2.7108263969421387,-54.01606369018555
2.7108263969421387,-53.50799560546875
2.76619291305542,-53.391944885253906
2.76619291305542,-53.57695388793945
2.76619291305542,-53.79548263549805
2.842224359512329,-53.61347198486328
2.842224359512329,-53.648223876953125
2.842224359512329,-53.775001525878906
2.842224359512329,-53.345237731933594
2.89314341545105,-53.560577392578125
2.8941447734832764,-53.697242736816406
2.8941447734832764,-53.78374481201172
2.9542901515960693,-53.73032760620117
2.9542901515960693,-53.57961654663086
2.9542901515960693,-54.039878845214844
3.0152533054351807,-53.63550567626953
3.0152533054351807,-53.67034149169922
3.0152533054351807,-53.8411865234375
3.0152533054351807,-53.58562469482422
3.078605890274048,-53.51753616333008
3.078605890274048,-53.71564865112305
3.078605890274048,-53.77764129638672
3.139814853668213,-53.75388717651367
3.139814853668213,-53.45734786987305
3.139814853668213,-53.423973083496094
3.2118327617645264,-53.589027404785156
3.2118327617645264,-53.62317657470703
3.2118327617645264,-53.39023971557617
3.2118327617645264,-53.326072692871094
3.2794270515441895,-53.72844314575195
3.2794270515441895,-53.502315521240234
3.2794270515441895,-53.30280303955078
3.327427387237549,-53.41799545288086
3.328430414199829,-53.70680236816406
3.328430414199829,-53.639102935791016
3.3907742500305176,-53.57991027832031
3.3907742500305176,-53.777278900146484
3.3907742500305176,-53.56454849243164
3.452803134918213,-53.68389892578125
3.452803134918213,-53.429412841796875
3.452803134918213,-53.5726432800293
3.452803134918213,-53.37742614746094
3.5152206420898438,-53.581886291503906
3.5152206420898438,-53.34437942504883
3.5152206420898438,-53.26783752441406
3.5803022384643555,-53.2329216003418
3.5803022384643555,-53.19575119018555
3.5803022384643555,-53.184627532958984
3.6463711261749268,-53.28977584838867
3.647388219833374,-53.020225524902344
3.647388219833374,-52.54133605957031
3.647388219833374,-52.6587028503418
3.7083728313446045,-52.511505126953125
3.7093842029571533,-52.44207000732422
3.7093842029571533,-52.34074783325195
3.7655413150787354,-52.01556396484375
3.7655413150787354,-51.71306228637695
3.7655413150787354,-51.58627700805664
3.8270387649536133,-51.52107238769531
3.8270387649536133,-50.8654899597168
3.8270387649536133,-50.67677688598633
3.8896830081939697,-50.364078521728516
3.8906702995300293,-49.95056915283203
3.8906702995300293,-49.653648376464844
3.8906702995300293,-48.99958801269531
3.951610565185547,-48.523582458496094
3.951610565185547,-48.164615631103516
3.951610565185547,-47.51832962036133
4.013941764831543,-47.00761795043945
4.013941764831543,-46.4152946472168
4.013941764831543,-45.93751907348633
4.076436281204224,-45.62550735473633
4.078436613082886,-45.06230163574219
4.078436613082886,-44.7963981628418
4.078436613082886,-44.6423225402832
4.145364999771118,-44.44431686401367
4.146366834640503,-44.56611633300781
4.146366834640503,-44.54439926147461
4.213555097579956,-44.86933517456055
4.213555097579956,-45.157005310058594
4.213555097579956,-45.629337310791016
4.263780832290649,-46.08256912231445
4.263780832290649,-46.49238586425781
4.263780832290649,-47.1751823425293
4.326157808303833,-47.88678741455078
4.326157808303833,-48.49514389038086
4.326157808303833,-49.15895080566406
4.326157808303833,-49.53538513183594
4.388520002365112,-50.23124694824219
4.389517068862915,-51.00283432006836
4.389517068862915,-51.25971984863281
4.450528860092163,-51.34603500366211
4.451494932174683,-51.60994338989258
4.451494932174683,-51.927772521972656
4.513717174530029,-51.929901123046875
4.513717174530029,-51.904502868652344
4.513717174530029,-51.78202438354492
4.513717174530029,-51.543914794921875
4.580648422241211,-51.24493408203125
4.580648422241211,-50.97723388671875
4.580648422241211,-50.72262954711914
4.645915746688843,-49.97382354736328
4.645915746688843,-49.584468841552734
4.645915746688843,-49.103736877441406
4.7004554271698,-48.4199333190918
4.701457738876343,-47.61250305175781
4.701457738876343,-47.15891647338867
4.762588262557983,-46.35915756225586
4.762588262557983,-45.84011459350586
4.762588262557983,-44.979488372802734
4.762588262557983,-44.35407638549805
4.82559061050415,-43.81167984008789
4.82559061050415,-43.44194412231445
4.82559061050415,-43.02509307861328
4.8895204067230225,-42.94720458984375
4.89056658744812,-42.984947204589844
4.89056658744812,-43.02814483642578
4.953604459762573,-43.375770568847656
