time,s21
0.5214612483978271,-51.262760162353516
0.5214612483978271,-51.280311584472656
0.588477611541748,-51.381614685058594
0.588477611541748,-51.035057067871094
0.588477611541748,-51.06975173950195
0.588477611541748,-51.09968566894531
0.588477611541748,-51.23422622680664
0.6554460525512695,-51.18151092529297
0.6554460525512695,-51.1380729675293
0.7156598567962646,-51.18488311767578
0.7156598567962646,-51.086021423339844
0.7156598567962646,-51.087589263916016
0.7780284881591797,-51.1650390625
0.7780284881591797,-51.316986083984375
0.7780284881591797,-51.30628967285156
0.7780284881591797,-51.131263732910156
0.8409550189971924,-51.236141204833984
0.8409550189971924,-51.24067306518555
0.8409550189971924,-51.27073287963867
0.9027078151702881,-51.20228576660156
0.9027078151702881,-51.22787857055664
0.9027078151702881,-51.10555648803711
0.9687080383300781,-51.243408203125
0.9697697162628174,-50.98457717895508
0.9697697162628174,-51.242042541503906
1.0277400016784668,-51.15752410888672
1.0277400016784668,-51.14009475708008
1.0277400016784668,-51.15519332885742
1.0277400016784668,-51.3401985168457
1.0897080898284912,-51.26944351196289
1.0907785892486572,-51.08225631713867
1.0907785892486572,-51.11326217651367
1.1550147533416748,-51.16071701049805
1.1560142040252686,-51.15320587158203
1.1560142040252686,-51.30780029296875
1.2163197994232178,-51.141605377197266
1.2173213958740234,-51.34355545043945
1.2173213958740234,-51.05634689331055
1.2173213958740234,-51.24260711669922
1.2773199081420898,-51.418025970458984
1.2773199081420898,-51.3497314453125
1.2783153057098389,-51.17827224731445
1.3402512073516846,-51.484405517578125
1.3422532081604004,-51.213836669921875
1.3422532081604004,-51.34185791015625
1.4023218154907227,-51.407203674316406
1.4032509326934814,-51.274169921875
1.4032509326934814,-51.211761474609375
1.4032509326934814,-51.36347579956055
1.4652562141418457,-51.344970703125
1.46632719039917,-51.359954833984375
1.46632719039917,-51.474090576171875
1.5313210487365723,-51.13276290893555
1.5313210487365723,-51.245826721191406
1.5313210487365723,-51.219390869140625
1.6084845066070557,-51.198524475097656
1.6084845066070557,-51.44906234741211
1.6084845066070557,-51.26700973510742
1.6665537357330322,-51.344905853271484
1.6674871444702148,-51.283050537109375
1.6674871444702148,-51.177059173583984
1.6674871444702148,-51.31327438354492
1.7144842147827148,-51.11391067504883
1.7154881954193115,-51.44064712524414
1.7164850234985352,-51.24269104003906
1.7778205871582031,-51.214256286621094
1.7778205871582031,-51.205810546875
1.7778205871582031,-51.15656661987305
1.838820219039917,-51.290252685546875
1.839822769165039,-51.331016540527344
1.839822769165039,-51.04996109008789
1.839822769165039,-51.30902099609375
1.9018206596374512,-51.435791015625
1.9018206596374512,-51.255332946777344
1.9018206596374512,-51.3150749206543
1.964820146560669,-51.23345947265625
1.9658219814300537,-51.30459976196289
1.9658219814300537,-51.034461975097656
2.0268213748931885,-51.27202224731445
2.0278213024139404,-51.40507507324219
2.0278213024139404,-51.10976028442383
2.0888259410858154,-51.28584289550781
2.089822769165039,-51.13774108886719
2.089822769165039,-51.204376220703125
2.089822769165039,-51.48316192626953
2.1514413356781006,-51.12030792236328
2.1514413356781006,-51.52668762207031
2.1514413356781006,-51.255279541015625
2.224433183670044,-51.43022155761719
2.225433588027954,-51.22780990600586
2.225433588027954,-51.22523880004883
2.288433074951172,-51.417476654052734
2.289431095123291,-51.289306640625
2.289431095123291,-51.228485107421875
2.289431095123291,-51.41644287109375
2.3394365310668945,-51.28515625
2.3394365310668945,-51.38063049316406
2.340430736541748,-51.18352508544922
2.40043568611145,-51.24203109741211
2.401431083679199,-51.15365982055664
2.401431083679199,-51.130104064941406
2.46543288230896,-51.345603942871094
2.4684345722198486,-51.18165588378906
2.4684345722198486,-51.138492584228516
2.526430368423462,-51.22821807861328
2.526430368423462,-51.459739685058594
2.526430368423462,-51.34743881225586
2.526430368423462,-51.02155685424805
2.589437246322632,-51.1969108581543
2.589437246322632,-51.15785598754883
2.5904312133789062,-51.39363098144531
2.664433240890503,-51.317989349365234
2.664433240890503,-51.21358871459961
2.664433240890503,-51.25273513793945
2.7134711742401123,-51.215576171875
2.7134711742401123,-51.49846267700195
2.7134711742401123,-51.31707000732422
2.7134711742401123,-51.34938049316406
2.775430679321289,-51.31171417236328
2.776430368423462,-51.271244049072266
2.776430368423462,-51.24537658691406
2.838430404663086,-51.08974838256836
2.838430404663086,-51.26416015625
2.838430404663086,-51.4419059753418
2.906430959701538,-51.09684753417969
2.906430959701538,-51.29433822631836
2.906430959701538,-51.3194694519043
2.906430959701538,-51.335853576660156
2.963430166244507,-51.11854934692383
2.963430166244507,-51.261314392089844
2.963430166244507,-51.1392936706543
3.0255699157714844,-51.28654479980469
3.0255699157714844,-51.35593795776367
3.0255699157714844,-51.38236618041992
3.087639331817627,-51.424293518066406
3.087639331817627,-51.26231384277344
3.088571071624756,-51.21208190917969
3.15057110786438,-51.34242248535156
3.15057110786438,-51.38874435424805
3.15057110786438,-51.28364562988281
3.15057110786438,-51.48067092895508
3.227768659591675,-51.31912612915039
3.227768659591675,-51.33576965332031
3.227768659591675,-51.43634796142578
3.274763584136963,-51.085533142089844
3.275763750076294,-51.22148895263672
3.275763750076294,-51.42940139770508
3.336761236190796,-51.244632720947266
3.337832450866699,-51.29441452026367
3.337832450866699,-51.07515335083008
3.337832450866699,-51.167232513427734
3.39976167678833,-51.198612213134766
3.39976167678833,-51.17561340332031
3.39976167678833,-51.137168884277344
3.4623172283172607,-51.36335372924805
3.4623172283172607,-51.53138732910156
3.4623172283172607,-51.136905670166016
3.52431058883667,-51.30027770996094
3.52431058883667,-51.18383026123047
