time,angle_2d,angle_3d
24.458674907684326,56.96094535831146,58.02658811269899
24.482114553451538,56.852669937428615,58.23204698095918
24.51811385154724,56.5264541163242,57.80760018469239
24.554115295410156,56.05416419117775,56.886348915075644
24.58411431312561,55.9713499009989,57.070910252223015
24.61411428451538,55.59758291176247,56.84683289677464
24.644596338272095,55.469903283856226,56.488324353915516
24.680596351623535,55.060080720831394,56.159118364413445
24.72659730911255,54.92121798641173,55.81275751310832
24.746596813201904,54.67371209935399,55.995096974924635
24.795597314834595,54.54526016799767,55.744614918362615
24.83859634399414,53.934283881359576,55.0687297585626
24.871745824813843,53.992056702843286,54.93389989309934
24.915743589401245,53.4326029240013,54.34069953912093
24.956326007843018,53.31779867395909,54.54847044944688
24.98332643508911,53.193681741322465,54.07956406395597
25.020326614379883,52.80541109369399,53.48826852460087
25.050333261489868,52.969822051414965,54.15472471199598
25.08932662010193,52.51897802675599,53.90596569481704
25.117326498031616,52.40158691941532,53.43778044364075
25.148328065872192,52.24800988463164,53.393869421759106
25.176326274871826,52.04733251398612,53.329830531317285
25.21127724647522,52.27619298820288,53.3596866286381
25.2462797164917,51.93191890437302,52.819665611153
25.279276847839355,51.77428158858913,52.332044396270646
25.32927680015564,51.623645671290916,52.990931162344495
25.35927724838257,51.49118659867705,52.5452810184576
25.418575048446655,51.308844718393374,52.0084085278727
25.446575164794922,50.91053695474011,52.11685684464136
25.483574390411377,50.817531990213354,51.52370958303234
25.520578861236572,50.71832310222226,51.61394400514638
25.548574447631836,50.618554990699806,51.93122147205429
25.578574895858765,50.41618393950225,51.07511406303723
25.616575717926025,50.211439122308235,51.42991427276374
25.643575191497803,49.91118136875505,50.99605416267843
25.679933547973633,49.8649793300778,50.951742509546506
25.710934162139893,49.40916270532375,50.31320410342889
25.746934413909912,49.239705814864635,50.44436944439548
25.78593397140503,49.11050287099815,50.46107169929999
25.82793354988098,48.62372128259784,49.66252431384052
25.848933935165405,48.51344003272351,49.56845947969728
25.890933752059937,48.33382247817812,48.96980125399779
25.906278371810913,48.14311233841204,49.29895106194692
25.953280925750732,48.022714328499006,49.00740480997712
25.980278253555298,47.54158304010221,48.15093685269835
26.05827784538269,47.37241570216278,48.40209842683123
26.08427882194519,46.97599548499761,48.44761662918083
26.11127805709839,46.60741908351352,48.16926318230901
26.146277904510498,46.26425430931397,47.74509302640314
26.209408283233643,46.043906447749976,46.866222587651805
26.276616096496582,45.792320416887776,46.85019161611547
26.290616035461426,45.44072518196083,46.920302575898205
26.327615976333618,45.26822181980978,46.21471810730145
26.341615676879883,45.08564661803632,46.337853016701445
26.373615503311157,44.9088449483574,46.406735693154275
26.41261625289917,44.757340036270506,45.41811734216114
26.451616764068604,44.56048424682899,45.41997390575807
26.479616165161133,44.49729422715137,45.944997957900426
26.514492988586426,44.32511046415087,45.66494143357269
26.54650068283081,44.18566484922357,44.66153628179143
26.57918667793274,43.79306634074288,44.6535093128941
26.615473985671997,43.550078165628605,44.34405834474637
26.646787881851196,43.35685632232298,45.05032801961798
26.67908024787903,43.003700623722295,44.770450854202124
26.711079835891724,42.88074887465467,43.72270517224598
26.764080286026,42.70572625318917,43.43545425376226
26.779080629348755,42.58313221801072,43.27663672710963
26.82724928855896,42.23585657019265,43.3426905953319
26.846251726150513,42.19548913810755,43.155604929321385
26.889249801635742,41.999381757461606,42.99284763921179
26.921260595321655,41.829072336151995,42.99269048834674
26.954249382019043,41.610117237341626,42.71291291883065
26.985249042510986,41.22228916107946,42.25970460410548
27.016521215438843,41.16584271152885,42.74665684761732
27.04952120780945,41.02222244608234,42.18162241289045
27.07952117919922,40.95069815248547,41.61923972209132
27.11252188682556,40.683077578431096,41.67247035061658
27.143521070480347,40.07722553967983,41.08510800339019
27.1775221824646,39.864854205306045,41.13472427508208
27.21052098274231,39.71800878460397,41.68361823837145
27.263521194458008,39.31851438093943,41.11323756449917
27.309521913528442,39.072673562964525,40.31903046546117
27.34352135658264,39.248362854329855,40.87259845652852
27.374521017074585,38.832502806709385,40.27265136715914
27.402520895004272,38.71217614449546,39.53860332979917
27.420521020889282,38.47631534752762,39.48123726320378
27.453521251678467,38.74765159281992,40.223166958061114
27.479520797729492,38.25027553866872,39.94123470210744
27.516521215438843,38.014374664024785,38.8911249458105
27.57952094078064,37.756259034405815,39.41357521452079
27.65352177619934,37.494509019211364,38.55025262330523
27.67452120780945,37.213851130151454,38.51787032797509
27.713520765304565,37.041137366896805,38.21523164518035
27.762702465057373,36.62339833409169,37.82576724559016
27.777702569961548,36.59495797059506,37.921213909287786
27.82670283317566,36.41056259799751,38.03116146574453
27.840704917907715,36.14689372943991,38.586294200810215
27.887702465057373,36.10153560690637,37.66304572285654
27.920702695846558,35.980806444634055,37.08846426412171
27.95270299911499,35.77202353970105,36.993696132024354
27.979702949523926,35.640798485097775,36.656659614595696
28.014703035354614,35.635500962929626,37.01548756422429
28.04570245742798,35.23431025986662,36.50891251920484
28.078702449798584,35.16980344194451,36.439619729551424
28.11270308494568,35.071507868853274,36.716049506199596
28.14270281791687,34.69104762873283,36.481927135832876
28.20470952987671,34.697980424590924,35.94669693192418
28.229702949523926,34.449364070923,35.69219236785614
28.26670479774475,34.45090308654267,35.798567774851705
28.288121461868286,34.26603946747832,35.63307177275544
28.329118967056274,34.34996497758874,35.10660852500075
28.358118534088135,33.91975112225302,34.95401390501138
28.41011881828308,33.810063166370156,35.8856726488483
28.4331214427948,33.64602630613368,35.27596479395103
28.453118324279785,33.352050948392986,34.608359821669865
28.474118947982788,33.21236887760003,33.96099462827905
28.519118547439575,33.18217048010587,34.784885456595646
28.547117948532104,32.88844865681068,33.76324999746478
28.591119050979614,32.78098971704529,34.057698771401135
28.64211893081665,32.52206673197128,33.61605247674666
28.657119274139404,32.61894588680505,34.15005050250443
28.67711877822876,32.397224868758286,33.53882649136449
28.71211862564087,32.1363444398165,34.243295396256826
28.761118173599243,32.059127815989655,33.475954028028866
